Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Brazil,,,,,,,,,,,,459.885690744594,499.041737520049,554.628192626451,604.978513306347,651.496665079686,722.08145266051,790.221838852917,860.302363371917,941.699154733262,1016.653610371,1021.54783486168,1055.95083267276,1111.75212807465,1208.6243211091,1283.05437375734,1354.50346607611,1368.10851224475,1419.63061211194,1449.93138169633,1460.76034878789,1486.22457039677,1494.06149564454,1537.59271699385,1566.76124114953,1634.39803713983,1687.08517674923,1762.41069262762,1808.34318646643,1832.37829562002,1897.35313747888,1747.93960140896,1806.66971449756,1882.26400762918,1956.15935940865,2015.79992356084,2072.36264721709,2167.60658365478,2229.84529915118,2197.12554728151,2374.11665262872,2430.8033959668,2501.47405281669,2568.82970799499,2619.96061573831,,,,,
Canada,5630.62981318508,5605.11192600296,5791.12495970775,5966.04091963721,6468.92626131953,6909.89938001829,7359.08818834797,7630.16852831668,8030.41843424605,8532.90850294845,8962.20221346839,9166.68366570088,9803.55841895994,10241.9208584542,10804.60079545,10466.5826249742,11075.9542252969,11797.2625883093,12269.0192959597,12422.7611263149,12803.9755149228,13239.4087570405,12981.0786679366,13457.0657913478,14343.392033437,14857.2585929109,15363.399577583,15798.287273287,16389.3381047529,16464.0395067145,16167.3745586043,16181.5887481801,16164.419040336,16320.127298241,16388.2805024147,16532.382036352,16607.2063366774,16653.6770544776,16435.7869875262,16678.932595154,17037.0722808289,16840.1937506524,16960.639671858,17208.5235166648,17264.7367438144,16948.2752209397,16508.3395520223,16683.1336593286,16377.4796961349,15450.7306885938,15269.745476893,15644.54027755,15336.6248565213,15750.8116334788,15588.4871464315,,,,,
United States,4049.786628734,4182.17550124938,4433.60602129325,4690.48625569377,4970.44645602406,5234.68500229024,5590.33374033374,5888.34091549579,6385.45932857015,6904.83379959245,7236.65704309151,7517.30464555213,8076.40926935244,8573.19415409445,8449.92845586241,8522.39400295407,8968.7756552847,9337.72401799863,9560.5454096188,9700.69538557242,9862.36549675432,9976.69371497302,9544.46094343532,9742.00571448125,10282.3746422135,10414.2078983205,10424.4272965398,10886.8582560496,11298.3325085174,11531.9323066701,11713.3317042099,12134.1721315039,12014.9582478929,12261.5237824091,12455.1621656545,12659.607628118,12854.2989079193,12889.8322801175,13154.7630268185,13281.8699827982,13671.0520240061,13046.6141478464,13296.1822993023,13307.4920085002,13388.5897105591,13704.5770481407,13583.2669593387,13657.4528282523,13663.4279681827,12913.7146883015,13394.9485702119,13246.029529449,12964.3301891078,13004.1149096791,12993.9618247727,,,,,
